"variable","percent.contribution","permutation.importance"
"bio15",11.8161,14.7197
"bio17",34.8547,39.8666
"bio2",6.3623,10.3485
"bio4",23.3308,22.2587
"bio8",4.3613,0
"nitrogen",1.7932,0.6595
"ruggedness",17.4815,12.1469
"sand",0,0
