"variable","percent.contribution","permutation.importance"
"bio12",3.6979,6.8931
"bio15",9.403,1.8459
"bio2",5.0758,1.0114
"bio4",39.5585,40.0508
"bio9",6.6353,13.6335
"ruggedness",9.4897,17.0153
"sand",7.1524,13.9877
"soc",18.9874,5.5623
