LandCover_6_Herbaceous,x,y
0.0,12.70833435,67.29167205
0.0,98.54167455,12.29166765
0.0,25.20833535,66.04167195
11.0,17.70833475,43.12500345
0.0,25.20833535,-34.37500275
0.0,28.54166895,51.04167075
13.0,64.37500515,69.37500555
0.0,-103.54167495,19.79166825
0.0,100.62500805,19.37500155
0.0,130.62501045,46.04167035
0.0,51.87500415,55.20833775
0.0,-89.79167385,47.70833715
0.0,95.20834095,30.62500245
0.0,-71.87500575,50.20833735
0.0,107.70834195,22.70833515
0.0,-123.54167655,47.70833715
0.0,128.95834365,42.70833675
0.0,-132.29167725,54.37500435
0.0,121.45834305,28.54166895
0.0,-79.37500635,50.20833735
0.0,-91.45834065,49.37500395
0.0,45.20833695,40.62500325
13.0,32.29166925,40.62500325
0.0,12.70833435,43.54167015
0.0,104.79167505,30.20833575
0.0,28.12500225,56.87500455
0.0,-82.70833995,48.95833725
0.0,116.45834265,58.12500465
28.0,-64.79167185,59.37500475
0.0,17.70833475,54.37500435
0.0,113.12500905,22.70833515
0.0,31.87500255,55.62500445
13.0,115.62500925,30.20833575
0.0,103.12500825,29.79166905
4.0,-74.79167265,45.62500365
0.0,-88.12500705,51.87500415
0.0,-74.79167265,46.87500375
0.0,33.12500265,51.45833745
0.0,23.95833525,51.45833745
0.0,-28.95833565,68.54167215
0.0,-162.29167965,68.95833885
0.0,105.20834175,30.62500245
0.0,29.37500235,51.87500415
30.0,12.29166765,46.45833705
69.0,118.95834285,46.45833705
0.0,28.12500225,62.70833835
29.0,99.37500795,27.29166885
0.0,-115.20834255,47.29167045
0.0,-60.20833815,52.29167085
50.0,94.37500755,51.87500415
0.0,-138.95834445,62.70833835
0.0,-119.37500955,56.04167115
0.0,10.62500085,44.37500355
0.0,107.70834195,20.62500165
0.0,29.37500235,51.45833745
0.0,-127.29167685,53.95833765
0.0,-117.70834275,48.54167055
0.0,-79.79167305,48.12500385
0.0,57.70833795,64.79167185
0.0,-77.29167285,55.20833775
0.0,21.87500175,58.95833805
0.0,16.45833465,61.04167155
0.0,30.62500245,64.37500515
0.0,114.37500915,38.12500305
0.0,33.54166935,41.45833665
0.0,27.70833555,52.29167085
11.0,98.95834125,25.20833535
0.0,-74.37500595,47.29167045
62.0,-111.45834225,41.04166995
0.0,97.29167445,58.12500465
0.0,158.12501265,56.04167115
0.0,75.20833935,68.95833885
0.0,32.70833595,56.87500455
0.0,3.12500025,48.95833725
19.0,-101.87500815,27.29166885
0.0,-71.87500575,48.54167055
0.0,108.95834205,-1.87500015000001
57.0,102.70834155,36.04166955
0.0,25.62500205,65.20833855
52.0,-115.20834255,41.04166995
38.0,-112.29167565,45.62500365
24.0,-88.54167375,33.12500265
0.0,111.87500895,31.45833585
0.0,18.12500145,40.62500325
56.0,99.79167465,28.95833565
0.0,171.45834705,64.79167185
0.0,-133.95834405,56.45833785
21.0,-83.12500665,55.20833775
0.0,-79.79167305,38.12500305
0.0,-145.20834495,69.79167225
0.0,110.62500885,-1.45833345
37.0,-113.54167575,43.95833685
30.0,-96.45834105,16.45833465
0.0,31.87500255,61.45833825
0.0,48.54167055,55.62500445
0.0,50.62500405,64.79167185
35.0,-114.37500915,43.54167015
28.0,-111.04167555,39.79166985
0.0,13.12500105,43.12500345
0.0,-136.87501095,66.87500535
0.0,-78.12500625,44.79167025
14.0,133.54167735,48.12500385
0.0,5.20833374999998,45.62500365
0.0,103.12500825,10.20833415
0.0,129.79167705,41.45833665
0.0,30.20833575,55.20833775
9.0,95.20834095,53.95833765
0.0,138.54167775,54.37500435
0.0,25.20833535,60.62500485
0.0,108.54167535,18.12500145
0.0,15.62500125,48.95833725
0.0,26.87500215,56.04167115
0.0,24.79166865,58.12500465
60.0,-96.87500775,33.54166935
0.0,116.45834265,-2.70833355000001
16.0,-98.12500785,48.54167055
0.0,12.29166765,41.87500335
0.0,133.95834405,-33.12500265
0.0,133.95834405,53.12500425
21.0,120.62500965,-32.29166925
0.0,-116.87500935,45.20833695
0.0,-83.54167335,44.79167025
19.0,-91.04167395,33.54166935
0.0,36.04166955,57.29167125
19.0,-84.37500675,38.12500305
9.0,-78.95833965,39.79166985
0.0,28.95833565,48.95833725
0.0,124.79167665,39.79166985
0.0,-91.45834065,30.62500245
0.0,-64.37500515,48.12500385
0.0,118.12500945,27.70833555
0.0,-91.04167395,29.37500235
0.0,135.62501085,35.62500285
