GTOPO30_ELEVATION,x,y
-9999.0,-46.87500375,60.62500485
247.0,33.54166935,57.29167125
152.0,-78.54167295,37.29166965
596.0,-63.12500505,52.29167085
-9999.0,21.45833505,37.29166965
87.0,31.45833585,61.87500495
222.0,106.04167515,21.87500175
2416.0,-106.04167515,38.12500305
177.0,-155.20834575,66.45833865
323.0,98.54167455,57.29167125
101.0,49.79167065,56.04167115
610.0,-153.95834565,66.04167195
2003.0,-108.95834205,37.70833635
186.0,135.20834415,46.45833705
701.0,94.79167425,51.45833745
143.0,34.79166945,51.45833745
101.0,128.95834365,46.04167035
276.0,103.54167495,11.45833425
236.0,99.37500795,18.12500145
1449.0,83.54167335,51.04167075
960.0,10.20833415,61.87500495
1.0,31.04166915,36.87500295
1522.0,108.54167535,49.79167065
-9999.0,-4.79166705,53.12500425
-9999.0,-82.29167325,62.29167165
344.0,-93.54167415,50.62500405
1222.0,106.87500855,26.45833545
1279.0,-113.54167575,42.70833675
66.0,6.04166714999999,51.04167075
423.0,1.04166674999999,45.62500365
330.0,-75.20833935,49.79167065
322.0,-91.45834065,43.12500345
195.0,-87.70834035,39.37500315
41.0,-82.29167325,28.54166895
9.0,-158.12501265,58.95833805
1978.0,95.20834095,29.37500235
-9999.0,148.12501185,-39.79166985
133.0,-50.20833735,63.12500505
59.0,9.79166744999998,52.29167085
3676.0,99.79167465,35.20833615
-9999.0,116.87500935,6.87500055
97.0,109.37500875,23.95833525
69.0,21.45833505,56.04167115
232.0,-62.70833835,57.70833795
-9999.0,131.45834385,31.45833585
2.0,17.29166805,61.87500495
64.0,50.62500405,66.87500535
191.0,-87.29167365,35.62500285
75.0,61.87500495,59.37500475
722.0,152.29167885,62.29167165
80.0,109.79167545,22.29166845
3744.0,101.87500815,33.54166935
86.0,-65.20833855,43.95833685
167.0,-87.70834035,34.79166945
272.0,151.45834545,-32.29166925
-9999.0,144.79167825,-40.20833655
-9999.0,127.70834355,39.37500315
310.0,-56.45833785,50.62500405
-9999.0,121.45834305,39.37500315
195.0,18.95833485,63.95833845
45.0,-161.45834625,59.79167145
-9999.0,10.62500085,58.12500465
1946.0,-111.45834225,43.12500345
-9999.0,-166.45834665,68.54167215
954.0,143.12501145,43.95833685
373.0,94.79167425,27.70833555
512.0,108.95834205,28.95833565
700.0,-134.79167745,60.62500485
1574.0,-116.87500935,48.95833725
1808.0,-118.12500945,50.62500405
-9999.0,-2.70833355000002,58.95833805
304.0,-75.62500605,53.12500425
48.0,-70.20833895,-53.12500425
323.0,30.20833575,68.54167215
328.0,135.62501085,53.12500425
-9999.0,141.87501135,48.54167055
329.0,-95.62500765,38.54166975
1493.0,103.12500825,24.37500195
1769.0,-101.04167475,19.37500155
2022.0,100.62500805,24.79166865
834.0,160.20834615,57.70833795
614.0,-68.54167215,53.12500425
634.0,16.87500135,43.54167015
198.0,-89.79167385,41.04166995
286.0,-99.37500795,24.79166865
1793.0,46.04167035,34.37500275
91.0,-62.70833835,46.04167035
1372.0,120.62500965,47.29167045
75.0,120.62500965,36.87500295
259.0,-91.87500735,41.87500335
243.0,37.29166965,67.70833875
426.0,-157.29167925,62.70833835
61.0,-122.70834315,45.62500365
904.0,2.70833354999999,43.54167015
-9999.0,-64.37500515,46.87500375
244.0,-86.87500695,39.37500315
707.0,137.29167765,46.87500375
353.0,-73.54167255,53.95833765
352.0,-82.70833995,40.20833655
97.0,108.54167535,22.70833515
410.0,-92.70834075,49.37500395
95.0,48.54167055,66.45833865
453.0,111.04167555,35.62500285
427.0,11.87500095,49.37500395
196.0,31.87500255,56.45833785
1558.0,-119.37500955,54.37500435
-9999.0,139.37501115,35.20833615
-9999.0,141.04167795,42.29167005
574.0,106.45834185,16.04166795
657.0,-4.79166705,56.45833785
570.0,15.20833455,66.87500535
126.0,-59.79167145,54.79167105
5.0,-67.70833875,-55.20833775
609.0,-67.29167205,53.95833765
1.0,69.79167225,66.45833865
420.0,135.62501085,51.87500415
1421.0,-98.12500785,18.54166815
1774.0,-119.79167625,44.37500355
526.0,-64.79167185,59.37500475
2376.0,-106.45834185,36.45833625
854.0,-81.04167315,37.70833635
-9999.0,146.45834505,59.37500475
266.0,154.79167905,60.62500485
73.0,-6.45833385,54.37500435
91.0,-77.70833955,38.54166975
1628.0,106.04167515,35.20833615
668.0,-118.12500945,54.79167105
1353.0,115.62500925,41.04166995
85.0,-91.87500735,35.20833615
236.0,135.20834415,43.95833685
621.0,-63.95833845,51.04167075
1752.0,101.87500815,26.04166875
975.0,-107.70834195,46.45833705
2028.0,-107.70834195,41.04166995
986.0,-80.62500645,38.12500305
1842.0,75.20833935,33.12500265
488.0,96.04167435,55.20833775
487.0,-89.79167385,48.12500385
274.0,-83.95834005,42.70833675
1079.0,-150.20834535,60.20833815
-9999.0,100.20834135,8.54166735
187.0,13.12500105,43.54167015
2560.0,-111.45834225,45.20833695
-9999.0,138.54167775,37.70833635
143.0,53.54167095,55.20833775
-9999.0,142.70834475,54.79167105
-9999.0,96.45834105,3.54166694999999
244.0,-81.87500655,39.79166985
176.0,-66.45833865,-55.20833775
149.0,-1.45833345,51.45833745
-9999.0,-1.87500015000001,57.70833795
1325.0,8.95833404999999,46.87500375
222.0,-67.29167205,-54.37500435
206.0,34.79166945,52.29167085
362.0,-62.29167165,56.04167115
169.0,111.45834225,33.12500265
-9999.0,4.37500034999999,60.62500485
175.0,20.62500165,51.45833745
248.0,3.54166694999998,47.70833715
137.0,-95.62500765,33.95833605
608.0,-68.12500545,50.20833735
1102.0,110.20834215,37.29166965
427.0,-71.45833905,55.20833775
64.0,131.04167715,30.62500245
70.0,49.37500395,67.70833875
-9999.0,124.37500995,38.54166975
1100.0,139.79167785,37.29166965
627.0,-18.95833485,64.37500515
40.0,-157.70834595,70.20833895
268.0,-7.70833395000002,39.37500315
142.0,21.45833505,45.20833695
410.0,-72.29167245,53.95833765
-9999.0,-53.54167095,49.79167065
80.0,-1.04166675000002,51.45833745
1532.0,106.87500855,33.95833605
491.0,-158.95834605,65.20833855
200.0,32.29166925,68.54167215
-9999.0,151.45834545,46.87500375
-9999.0,14.79166785,55.62500445
405.0,124.79167665,53.95833765
273.0,23.54166855,67.70833875
52.0,115.20834255,27.70833555
79.0,118.12500945,32.29166925
1160.0,112.29167565,35.20833615
119.0,-157.70834595,63.12500505
-9999.0,-3.12500025,53.54167095
914.0,-131.87501055,61.87500495
-9999.0,144.79167825,-40.62500325
221.0,34.79166945,51.87500415
-9999.0,21.04166835,36.87500295
43.0,169.79168025,64.79167185
125.0,56.04167115,60.62500485
225.0,-72.70833915,-50.20833735
-9999.0,110.62500885,18.95833485
195.0,23.54166855,46.04167035
49.0,114.79167585,27.70833555
-9999.0,158.54167935,58.54167135
61.0,-132.70834395,53.95833765
99.0,28.12500225,56.87500455
235.0,-123.12500985,49.79167065
104.0,28.54166895,70.20833895
745.0,116.04167595,5.62500045
272.0,-78.54167295,49.37500395
591.0,-154.37501235,58.95833805
1561.0,106.04167515,34.79166945
381.0,-92.70834075,43.95833685
617.0,123.54167655,54.37500435
357.0,-95.20834095,38.12500305
259.0,89.79167385,56.45833785
621.0,-48.54167055,61.87500495
4166.0,101.45834145,30.62500245
315.0,-93.95834085,53.12500425
537.0,20.62500165,42.70833675
302.0,-138.95834445,67.70833875
317.0,11.04166755,49.37500395
2114.0,-115.20834255,43.95833685
245.0,-93.54167415,39.37500315
309.0,-87.29167365,50.20833735
51.0,71.04167235,66.04167195
599.0,-69.37500555,51.04167075
-9999.0,20.20833495,38.54166975
467.0,-82.70833995,46.87500375
311.0,-73.12500585,53.95833765
153.0,63.95833845,67.70833875
113.0,153.12501225,-30.20833575
1132.0,-103.12500825,30.62500245
-9999.0,22.29166845,60.20833815
304.0,-93.54167415,52.70833755
51.0,52.70833755,66.04167195
14.0,76.04167275,70.62500565
1438.0,99.37500795,25.62500205
-9999.0,110.20834215,18.12500145
161.0,28.54166895,64.37500515
728.0,8.54166734999998,39.37500315
280.0,13.12500105,66.04167195
82.0,-1.04166675000002,48.95833725
-9999.0,4.79166705,60.62500485
326.0,24.79166865,44.79167025
269.0,161.04167955,57.70833795
597.0,-69.79167225,55.20833775
1201.0,-110.62500885,30.62500245
98.0,41.87500335,62.70833835
3782.0,71.04167235,42.29167005
161.0,105.62500845,18.12500145
226.0,23.95833525,43.12500345
155.0,110.20834215,25.20833535
201.0,-3.95833365000001,52.29167085
152.0,-72.29167245,48.95833725
337.0,132.29167725,50.20833735
-9999.0,25.62500205,59.79167145
292.0,-76.04167275,54.79167105
517.0,101.04167475,53.95833765
900.0,-125.62501005,51.04167075
154.0,34.79166945,58.95833805
48.0,-84.37500675,53.54167095
1395.0,99.37500795,20.62500165
6.0,-163.54167975,61.87500495
50.0,113.54167575,31.45833585
345.0,59.37500475,57.70833795
15.0,23.54166855,56.45833785
42.0,66.04167195,59.79167145
-9999.0,158.12501265,58.54167135
152.0,-96.04167435,34.37500275
2626.0,-99.79167465,19.37500155
91.0,52.29167085,61.87500495
308.0,-58.12500465,53.54167095
160.0,30.62500245,62.70833835
4030.0,98.12500785,28.95833565
366.0,1.45833345,45.62500365
2900.0,-113.95834245,39.79166985
586.0,119.37500955,42.70833675
-9999.0,24.79166865,65.62500525
295.0,-86.04167355,49.79167065
428.0,-72.70833915,56.04167115
1200.0,-96.87500775,18.95833485
-9999.0,-82.29167325,55.62500445
35.0,114.79167585,31.04166915
129.0,45.20833695,58.12500465
81.0,-98.95834125,22.70833515
427.0,-73.95833925,47.29167045
254.0,58.12500465,61.87500495
23.0,-1.04166675000002,43.54167015
88.0,-92.70834075,34.37500275
391.0,128.54167695,36.04166955
2622.0,-105.62500845,32.70833595
93.0,98.54167455,14.79166785
-9999.0,146.04167835,-39.37500315
-9999.0,-151.87501215,59.37500475
1496.0,108.12500865,49.37500395
1904.0,-106.04167515,28.12500225
183.0,-82.70833995,49.79167065
1081.0,-49.37500395,63.95833845
155.0,32.70833595,52.29167085
178.0,35.62500285,53.54167095
495.0,23.12500185,69.37500555
117.0,-118.95834285,34.37500275
16.0,26.45833545,60.62500485
195.0,48.12500385,62.29167165
167.0,49.37500395,58.12500465
324.0,-71.87500575,42.29167005
2200.0,103.54167495,35.62500285
1163.0,92.70834075,52.29167085
430.0,-91.45834065,47.29167045
152.0,35.20833615,32.70833595
3995.0,94.79167425,30.20833575
172.0,29.79166905,49.79167065
4477.0,100.20834135,30.20833575
1773.0,-119.79167625,41.87500335
654.0,130.62501045,44.37500355
170.0,54.37500435,61.87500495
100.0,54.37500435,66.45833865
209.0,103.95834165,18.54166815
1061.0,130.20834375,55.20833775
-9999.0,39.37500315,64.79167185
612.0,-67.29167205,51.04167075
-9999.0,131.87501055,42.70833675
-9999.0,-6.04166715000002,55.62500445
157.0,29.37500235,56.04167115
270.0,-72.70833915,-36.87500295
1196.0,-127.29167685,61.04167155
229.0,15.62500125,50.20833735
4418.0,96.45834105,28.95833565
856.0,116.04167595,40.62500325
518.0,118.95834285,28.12500225
349.0,-1.87500015000001,42.29167005
-9999.0,109.37500875,13.12500105
2963.0,-100.62500805,19.79166825
371.0,-81.87500655,48.12500385
136.0,151.87501215,-25.20833535
842.0,89.79167385,53.95833765
159.0,8.12500064999998,48.95833725
136.0,112.29167565,31.87500255
400.0,14.79166785,60.62500485
-9999.0,13.54166775,67.29167205
843.0,19.37500155,43.54167015
646.0,98.54167455,21.45833505
122.0,40.20833655,54.79167105
-9999.0,38.95833645,65.20833855
144.0,46.45833705,63.54167175
-9999.0,-6.04166715000002,36.04166955
1620.0,40.62500325,43.95833685
64.0,88.12500705,63.12500505
744.0,118.12500945,41.45833665
-9999.0,-138.12501105,69.37500555
213.0,-68.54167215,46.87500375
208.0,125.20834335,40.62500325
2987.0,-108.12500865,37.70833635
190.0,115.62500925,31.45833585
615.0,110.20834215,27.70833555
1009.0,-128.12501025,57.70833795
1149.0,93.95834085,52.29167085
102.0,-98.54167455,28.54166895
-9999.0,23.12500185,58.12500465
778.0,130.20834375,43.54167015
1453.0,93.12500745,23.95833525
115.0,107.29167525,16.45833465
1427.0,-111.45834225,37.29166965
282.0,126.87501015,52.29167085
191.0,129.37501035,50.20833735
365.0,-81.04167315,41.45833665
-9999.0,-2.29166685000001,46.87500375
610.0,12.29166765,50.20833735
1419.0,-118.95834285,42.29167005
190.0,20.62500165,50.20833735
470.0,126.87501015,41.87500335
375.0,135.20834415,45.62500365
2844.0,101.04167475,27.29166885
22.0,-84.79167345,30.20833575
128.0,51.04167075,66.45833865
419.0,94.37500755,27.70833555
236.0,-88.54167375,40.62500325
-9999.0,-52.70833755,46.45833705
359.0,-89.37500715,44.37500355
-9999.0,-146.45834505,60.20833815
66.0,75.20833935,66.04167195
82.0,95.62500765,21.87500175
201.0,47.70833715,59.37500475
649.0,-63.95833845,57.70833795
122.0,-68.12500545,45.20833695
460.0,140.62501125,58.54167135
-9999.0,-151.45834545,60.62500485
252.0,151.04167875,-32.29166925
194.0,-123.12500985,49.37500395
448.0,169.37501355,62.70833835
183.0,-85.62500685,46.87500375
1796.0,-114.37500915,39.79166985
373.0,-73.54167255,47.29167045
156.0,38.54166975,59.37500475
1903.0,-108.12500865,30.20833575
250.0,27.70833555,54.37500435
-9999.0,-157.70834595,58.54167135
45.0,13.54166775,52.29167085
384.0,-93.54167415,46.45833705
253.0,30.62500245,66.87500535
413.0,-158.12501265,65.20833855
-9999.0,-9.79166745000001,53.12500425
2560.0,-113.54167575,44.37500355
1781.0,110.20834215,55.62500445
-9999.0,-80.20833975,28.95833565
127.0,11.45833425,59.79167145
184.0,126.04167675,44.79167025
215.0,37.29166965,51.04167075
224.0,141.87501135,43.95833685
369.0,19.79166825,65.62500525
140.0,8.12500064999998,45.20833695
42.0,-63.12500505,45.20833695
-9999.0,-63.54167175,46.04167035
1529.0,-127.70834355,53.54167095
1792.0,-88.54167375,14.37500115
-9999.0,-5.20833375000001,36.04166955
866.0,113.95834245,26.04166875
935.0,-3.95833365000001,37.29166965
-9999.0,14.37500115,45.20833695
38.0,-85.20834015,31.04166915
101.0,27.29166885,40.20833655
1376.0,103.95834165,20.20833495
2167.0,-107.70834195,29.79166905
111.0,151.45834545,59.79167145
58.0,114.37500915,29.79166905
-9999.0,-35.20833615,66.04167195
-9999.0,-61.04167155,49.37500395
488.0,19.37500155,68.95833885
155.0,-88.12500705,38.95833645
284.0,8.95833404999999,50.62500405
135.0,-145.20834495,66.45833865
238.0,129.37501035,49.79167065
-9999.0,35.62500285,42.29167005
167.0,18.54166815,51.45833745
-9999.0,22.29166845,36.45833625
589.0,-49.37500395,64.37500515
301.0,-75.62500605,53.54167095
1275.0,-118.95834285,48.95833725
989.0,113.54167575,59.37500475
979.0,-133.95834405,61.04167155
95.0,48.54167055,58.54167135
121.0,20.20833495,-34.37500275
46.0,52.29167085,66.04167195
181.0,27.70833555,63.95833845
504.0,17.70833475,49.79167065
-9999.0,-157.70834595,71.04167235
741.0,-141.04167795,62.29167165
-9999.0,-4.79166705,52.29167085
-9999.0,141.45834465,51.87500415
111.0,-80.20833975,34.37500275
71.0,78.95833965,59.37500475
694.0,-152.70834555,57.70833795
-9999.0,-4.37500035000002,51.04167075
148.0,8.95833404999999,40.20833655
387.0,99.79167465,57.29167125
173.0,40.20833655,52.29167085
71.0,-138.12501105,59.37500475
-9999.0,139.37501115,39.37500315
77.0,107.29167525,10.62500085
1828.0,101.45834145,23.95833525
549.0,-72.29167245,47.70833715
27.0,23.95833525,56.45833785
903.0,118.95834285,46.45833705
28.0,-56.04167115,52.70833755
1042.0,96.04167435,52.70833755
1072.0,-3.12500025,41.45833665
-9999.0,-61.87500495,46.04167035
2071.0,-119.37500955,52.29167085
262.0,114.79167585,28.12500225
-9999.0,-53.12500425,47.70833715
-9999.0,1.04166674999999,38.95833645
51.0,48.54167055,68.95833885
223.0,-91.87500735,44.37500355
3.0,-161.87501295,59.79167145
313.0,-98.12500785,31.04166915
3283.0,-105.20834175,36.87500295
981.0,-72.29167245,-39.79166985
556.0,103.95834165,21.45833505
280.0,-66.87500535,48.95833725
664.0,161.04167955,58.12500465
4.0,-164.79167985,61.45833825
83.0,107.29167525,21.45833505
2023.0,104.79167505,32.70833595
13.0,7.70833395,36.87500295
543.0,132.70834395,53.12500425
2254.0,88.95834045,51.45833745
5.0,-140.20834455,59.79167145
71.0,116.04167595,28.12500225
243.0,-80.20833975,46.45833705
168.0,19.79166825,53.54167095
403.0,121.04167635,-31.45833585
135.0,113.54167575,31.87500255
140.0,173.95834725,65.62500525
200.0,7.70833395,58.54167135
1460.0,-150.62501205,62.70833835
304.0,-1.04166675000002,54.37500435
93.0,132.29167725,45.62500365
-9999.0,149.79167865,-22.29166845
-9999.0,-78.95833965,25.62500205
759.0,113.54167575,25.20833535
653.0,19.79166825,68.54167215
2012.0,-110.20834215,41.87500335
494.0,-96.87500775,44.37500355
304.0,-81.45833985,40.20833655
494.0,165.20834655,62.70833835
114.0,-89.37500715,35.20833615
305.0,-76.45833945,52.70833755
469.0,-61.04167155,51.87500415
66.0,-77.29167285,58.95833805
378.0,119.37500955,-31.45833585
-9999.0,11.04166755,57.70833795
-9999.0,-65.62500525,59.37500475
155.0,50.62500405,56.45833785
-9999.0,-55.62500445,52.29167085
116.0,24.79166865,53.95833765
1199.0,23.12500185,43.12500345
-9999.0,21.04166835,63.95833845
128.0,161.04167955,56.87500455
-9999.0,-131.87501055,54.79167105
-9999.0,127.29167685,34.37500275
1640.0,12.70833435,46.87500375
1.0,-53.12500425,66.87500535
478.0,109.37500875,28.54166895
377.0,-98.12500785,33.12500265
323.0,-95.20834095,48.95833725
-9999.0,12.29166765,41.45833665
545.0,118.12500945,52.29167085
92.0,67.29167205,66.45833865
261.0,-160.62501285,69.37500555
1635.0,101.87500815,24.79166865
877.0,101.04167475,19.79166825
-9999.0,-157.70834595,58.12500465
19.0,21.45833505,54.79167105
132.0,39.37500315,60.20833815
1.0,-63.54167175,46.45833705
1707.0,-113.54167575,43.54167015
-9999.0,132.29167725,32.29166925
35.0,30.20833575,-31.04166915
3090.0,-106.45834185,38.54166975
777.0,169.79168025,66.87500535
-9999.0,117.70834275,3.12500025
115.0,136.04167755,-33.54166935
335.0,167.29168005,60.62500485
1017.0,110.62500885,38.12500305
-9999.0,-7.70833395000002,51.87500415
116.0,-86.45834025,31.87500255
73.0,163.95834645,62.70833835
335.0,-83.95834005,40.20833655
417.0,122.70834315,47.29167045
20.0,116.87500935,39.37500315
385.0,131.04167715,44.37500355
-9999.0,-79.37500635,26.87500215
924.0,-113.95834245,52.70833755
636.0,139.79167785,58.54167135
3354.0,103.95834165,34.79166945
148.0,51.45833745,59.37500475
304.0,97.29167445,25.62500205
731.0,-151.87501215,63.12500505
492.0,17.70833475,49.37500395
210.0,51.04167075,59.37500475
183.0,16.45833465,46.45833705
879.0,-125.20834335,57.29167125
156.0,45.62500365,61.45833825
-9999.0,37.29166965,68.95833885
1485.0,103.12500825,23.12500185
146.0,-69.37500555,48.54167055
1216.0,-118.12500945,43.54167015
217.0,-72.29167245,-41.45833665
185.0,113.12500905,0.625000049999997
1110.0,98.54167455,53.95833765
212.0,-5.20833375000001,56.04167115
471.0,128.95834365,48.54167055
719.0,164.79167985,-20.62500165
-9999.0,144.37501155,58.95833805
19.0,71.87500575,68.54167215
162.0,60.62500485,58.54167135
823.0,112.29167565,36.04166955
373.0,7.29166724999999,48.54167055
549.0,-70.62500565,52.70833755
-9999.0,-151.87501215,57.70833795
1870.0,-113.95834245,44.79167025
489.0,59.37500475,55.20833775
369.0,-90.62500725,44.79167025
1035.0,-108.54167535,46.04167035
235.0,-156.87501255,60.62500485
880.0,128.54167695,42.29167005
101.0,32.70833595,58.95833805
-9999.0,21.04166835,63.54167175
91.0,-157.70834595,59.79167145
400.0,10.20833415,49.37500395
-9999.0,13.12500105,41.04166995
268.0,-92.29167405,53.54167095
74.0,133.95834405,48.54167055
240.0,6.45833385,58.54167135
