LandCover_3_Deciduousbroadleaf,x,y
0.0,118.95834285,39.79166985
0.0,-88.12500705,42.29167005
21.0,38.54166975,60.62500485
0.0,6.87500054999998,43.12500345
0.0,6.45833385,53.95833765
15.0,37.70833635,40.62500325
0.0,31.87500255,64.79167185
0.0,19.37500155,44.79167025
0.0,70.20833895,67.29167205
62.0,-84.79167345,38.95833645
0.0,33.54166935,55.20833775
0.0,-123.95834325,55.62500445
0.0,-49.37500395,63.95833845
0.0,-71.45833905,51.87500415
0.0,-84.37500675,43.12500345
0.0,-157.70834595,63.95833845
0.0,-148.12501185,60.62500485
0.0,-1.87500015000001,58.12500465
10.0,24.37500195,48.54167055
5.0,135.20834415,48.12500385
0.0,158.12501265,56.45833785
32.0,30.20833575,58.54167135
0.0,-101.45834145,30.20833575
0.0,-154.37501235,64.37500515
67.0,-76.04167275,45.62500365
0.0,-121.45834305,42.29167005
0.0,93.95834085,26.04166875
0.0,21.45833505,61.45833825
0.0,119.37500955,29.37500235
88.0,-73.54167255,44.37500355
0.0,-81.45833985,44.79167025
0.0,113.54167575,36.87500295
0.0,-113.54167575,41.87500335
21.0,161.87501295,58.54167135
4.0,99.79167465,51.87500415
0.0,100.20834135,27.70833555
0.0,-60.20833815,51.04167075
0.0,142.29167805,-36.87500295
5.0,-93.54167415,48.95833725
0.0,153.54167895,48.54167055
0.0,128.95834365,34.37500275
0.0,-114.37500915,47.70833715
0.0,69.37500555,65.20833855
0.0,-74.79167265,38.12500305
11.0,34.37500275,62.29167165
12.0,15.62500125,53.95833765
10.0,117.70834275,51.87500415
0.0,46.87500375,54.79167105
0.0,-116.04167595,42.70833675
0.0,88.95834045,50.62500405
0.0,98.54167455,25.20833535
0.0,-80.62500645,45.62500365
0.0,149.79167865,61.45833825
0.0,-78.95833965,47.70833715
0.0,-78.95833965,52.70833755
0.0,-140.20834455,63.12500505
0.0,-81.87500655,41.87500335
0.0,98.12500785,32.70833595
0.0,-85.62500685,51.45833745
23.0,101.45834145,28.54166895
0.0,-116.04167595,44.37500355
0.0,27.29166885,71.45833905
0.0,140.20834455,50.62500405
0.0,-82.29167325,54.37500435
0.0,86.45834025,62.29167165
0.0,-118.95834285,54.37500435
0.0,20.62500165,43.95833685
0.0,-72.29167245,-51.04167075
0.0,-3.12500025,47.29167045
0.0,1.04166674999999,38.54166975
0.0,128.54167695,45.62500365
6.0,5.20833374999998,59.79167145
0.0,-84.79167345,43.12500345
0.0,-65.20833855,48.95833725
0.0,108.95834205,31.04166915
0.0,-3.12500025,43.54167015
0.0,47.70833715,59.37500475
0.0,110.20834215,18.95833485
0.0,119.37500955,53.12500425
0.0,17.29166805,63.95833845
8.0,-122.70834315,43.95833685
0.0,-86.87500695,45.62500365
0.0,-65.20833855,59.37500475
0.0,8.12500064999998,41.45833665
0.0,-91.87500735,30.20833575
15.0,27.70833555,61.04167155
0.0,-90.62500725,36.45833625
0.0,103.54167495,50.20833735
0.0,127.29167685,34.79166945
0.0,-29.37500235,68.12500545
0.0,104.79167505,33.95833605
0.0,140.62501125,51.87500415
88.0,-91.87500735,36.04166955
0.0,22.70833515,40.20833655
13.0,-92.29167405,34.37500275
0.0,126.45834345,38.54166975
0.0,99.79167465,58.95833805
0.0,-141.04167795,69.79167225
0.0,12.70833435,40.62500325
0.0,64.37500515,60.20833815
0.0,-5.20833375000001,48.54167055
0.0,-108.12500865,27.70833555
0.0,-3.95833365000001,41.04166995
0.0,111.87500895,21.45833505
0.0,46.87500375,56.04167115
0.0,128.54167695,42.70833675
97.0,-73.12500585,42.70833675
0.0,101.04167475,-1.45833345
0.0,114.79167585,-31.04166915
0.0,165.62501325,61.45833825
0.0,122.29167645,40.20833655
0.0,-75.62500605,49.79167065
0.0,-95.62500765,38.54166975
0.0,35.20833615,51.04167075
0.0,120.20834295,22.70833515
0.0,-106.45834185,28.12500225
0.0,-68.54167215,-54.79167105
0.0,138.95834445,37.70833635
0.0,12.70833435,67.29167205
0.0,-70.20833895,-53.54167095
0.0,10.20833415,44.79167025
0.0,141.87501135,49.37500395
21.0,36.04166955,50.62500405
0.0,101.87500815,4.79166705
0.0,143.12501145,42.70833675
0.0,51.87500415,63.54167175
11.0,26.04166875,54.79167105
0.0,6.87500054999998,59.37500475
2.0,118.12500945,29.79166905
0.0,-156.45834585,65.62500525
0.0,151.87501215,-31.87500255
0.0,-141.45834465,64.79167185
0.0,118.54167615,28.54166895
0.0,76.45833945,66.87500535
0.0,-134.79167745,57.29167125
0.0,21.04166835,45.20833695
0.0,150.62501205,46.45833705
0.0,-6.45833385,61.87500495
0.0,3.95833364999999,46.45833705
0.0,6.04166714999999,63.12500505
0.0,6.45833385,48.95833725
22.0,-91.45834065,34.79166945
8.0,102.70834155,51.04167075
0.0,163.12501305,61.45833825
0.0,44.37500355,63.12500505
0.0,8.54166734999998,62.29167165
22.0,-121.45834305,52.70833755
0.0,117.29167605,29.79166905
0.0,26.45833545,39.79166985
15.0,-83.12500665,31.04166915
40.0,98.12500785,19.37500155
0.0,-62.29167165,44.79167025
4.0,-91.87500735,34.79166945
1.0,48.54167055,54.37500435
0.0,-95.20834095,50.62500405
32.0,24.37500195,59.37500475
0.0,34.79166945,53.54167095
0.0,-73.95833925,47.70833715
52.0,15.62500125,46.45833705
0.0,-115.62500925,53.95833765
4.0,161.45834625,58.12500465
0.0,25.62500205,55.20833775
0.0,116.04167595,31.87500255
0.0,-89.37500715,43.54167015
0.0,101.87500815,4.37500034999999
14.0,-93.54167415,34.37500275
0.0,-119.79167625,43.12500345
0.0,-120.62500965,41.87500335
4.0,55.62500445,58.12500465
11.0,56.87500455,63.54167175
0.0,-2.29166685000001,55.20833775
0.0,108.95834205,49.37500395
40.0,-94.79167425,32.70833595
0.0,-97.70834115,17.29166805
0.0,-90.62500725,30.20833575
0.0,33.95833605,64.79167185
0.0,52.70833755,67.29167205
0.0,11.45833425,41.87500335
0.0,126.87501015,33.54166935
0.0,73.95833925,66.04167195
0.0,37.70833635,53.12500425
0.0,21.87500175,61.04167155
0.0,29.79166905,-23.95833525
0.0,-166.45834665,68.54167215
0.0,-21.45833505,65.62500525
0.0,158.95834605,55.20833775
26.0,31.45833585,63.12500505
0.0,130.20834375,49.79167065
0.0,103.54167495,1.04166675
8.0,-121.87500975,41.87500335
0.0,-81.04167315,30.62500245
0.0,120.20834295,43.95833685
0.0,-4.79166705,53.54167095
0.0,-61.87500495,50.20833735
0.0,113.95834245,0.625000049999997
11.0,4.37500034999999,48.12500385
0.0,18.54166815,-33.95833605
0.0,19.79166825,42.70833675
0.0,-70.62500565,41.87500335
0.0,118.12500945,32.70833595
0.0,-1.45833345,46.87500375
0.0,-143.12501145,61.04167155
49.0,-91.04167395,43.95833685
0.0,89.79167385,64.37500515
3.0,-119.79167625,38.95833645
0.0,94.79167425,51.45833745
0.0,19.37500155,51.87500415
0.0,-156.45834585,59.79167145
0.0,-95.62500765,36.45833625
10.0,7.70833395,47.70833715
0.0,-131.87501055,60.62500485
0.0,18.12500145,60.20833815
0.0,-115.62500925,45.62500365
0.0,-57.29167125,49.79167065
0.0,173.12501385,65.62500525
0.0,73.12500585,34.37500275
0.0,9.37500075,43.12500345
0.0,104.79167505,20.20833495
0.0,27.29166885,57.29167125
0.0,-113.54167575,49.37500395
28.0,16.87500135,53.95833765
0.0,-93.95834085,52.29167085
0.0,106.87500855,52.70833755
0.0,121.04167635,30.62500245
0.0,-2.29166685000001,47.29167045
0.0,40.20833655,54.79167105
14.0,125.62501005,51.45833745
0.0,-80.20833975,51.04167075
0.0,-88.95834045,53.54167095
12.0,-99.79167465,51.87500415
0.0,169.37501355,64.79167185
0.0,50.20833735,62.29167165
0.0,-108.12500865,50.20833735
11.0,30.62500245,52.70833755
0.0,157.29167925,57.29167125
0.0,111.04167555,33.12500265
0.0,-118.12500945,48.54167055
0.0,-108.54167535,29.79166905
0.0,77.29167285,66.87500535
32.0,128.95834365,41.04166995
16.0,95.20834095,55.20833775
23.0,17.29166805,44.37500355
0.0,-99.37500795,20.62500165
0.0,138.54167775,35.62500285
0.0,138.12501105,37.70833635
1.0,12.29166765,49.37500395
9.0,-85.62500685,30.62500245
0.0,21.04166835,70.20833895
0.0,-161.87501295,66.04167195
16.0,-65.20833855,46.45833705
0.0,74.37500595,33.54166935
0.0,98.95834125,53.54167095
0.0,35.20833615,66.04167195
0.0,-52.70833755,48.54167055
0.0,-154.37501235,61.04167155
0.0,101.45834145,48.54167055
11.0,15.62500125,59.37500475
5.0,-69.79167225,46.87500375
0.0,-131.04167715,55.62500445
0.0,-87.29167365,53.12500425
0.0,156.04167915,68.54167215
0.0,-95.62500765,51.45833745
0.0,108.12500865,35.20833615
0.0,11.87500095,60.20833815
0.0,-99.79167465,27.70833555
0.0,-156.45834585,56.87500455
0.0,137.29167765,36.04166955
24.0,18.54166815,48.95833725
0.0,160.20834615,62.29167165
0.0,136.04167755,33.95833605
0.0,109.37500875,28.12500225
0.0,-62.29167165,50.20833735
0.0,-59.37500475,48.54167055
