"variable","percent.contribution","permutation.importance"
"bio1",37.6893,41.3337
"bio13",25.7249,26.2691
"bio14",0.3688,0.4952
"bio6",12.0563,13.8534
"bio8",1.6988,0
"bio9",1.3498,2.2396
"ruggedness",19.6475,13.9232
"sand",1.3426,1.1673
"soc",0.1221,0.7186
