"variable","percent.contribution","permutation.importance"
"bio1",19.4229,0.3073
"bio14",21.7466,8.1499
"bio2",14.9479,25.1335
"bio8",3.0974,0
"bio9",17.2682,4.9468
"elevation",13.0882,15.6316
"ruggedness",0.8367,5.4077
"sand",0.9408,8.8797
"soc",8.6514,31.5436
