LandCover_4_Mixedtrees,x,y
0.0,118.12500945,61.87500495
0.0,-101.04167475,61.87500495
0.0,123.12500985,48.12500385
0.0,20.62500165,51.45833745
0.0,23.12500185,51.87500415
0.0,-82.29167325,22.70833515
24.0,95.20834095,70.62500565
0.0,-107.70834195,66.45833865
0.0,-146.45834505,68.95833885
26.0,-125.62501005,50.62500405
0.0,-76.04167275,19.79166825
0.0,152.70834555,-24.79166865
76.0,67.70833875,63.95833845
80.0,99.79167465,53.95833765
0.0,-60.20833815,46.87500375
58.0,141.87501135,-13.54166775
16.0,-150.20834535,63.54167175
37.0,-75.62500605,50.20833735
25.0,-71.04167235,47.70833715
27.0,-76.45833945,45.20833695
0.0,-110.20834215,66.87500535
0.0,62.29167165,66.87500535
80.0,133.12501065,51.87500415
0.0,-96.87500775,59.37500475
26.0,163.12501305,60.20833815
45.0,-94.37500755,35.62500285
10.0,94.79167425,19.79166825
30.0,-142.29167805,66.04167195
11.0,100.20834135,38.12500305
0.0,-96.04167435,37.29166965
0.0,20.62500165,59.79167145
17.0,102.29167485,60.20833815
0.0,141.45834465,-13.95833445
46.0,-125.20834335,66.45833865
3.0,51.45833745,67.29167205
0.0,121.87500975,19.37500155
22.0,-153.54167895,59.37500475
11.0,51.04167075,53.54167095
0.0,116.45834265,1.87500014999999
80.0,86.04167355,60.20833815
21.0,-72.29167245,54.37500435
14.0,32.70833595,63.95833845
14.0,-0.625000050000011,53.95833765
0.0,47.29167045,55.20833775
0.0,-72.29167245,-36.87500295
64.0,-78.54167295,53.54167095
0.0,157.70834595,55.62500445
0.0,21.45833505,47.70833715
6.0,-152.70834555,68.54167215
0.0,98.12500785,33.95833605
0.0,12.29166765,44.79167025
5.0,105.20834175,33.54166935
42.0,-81.04167315,35.20833615
0.0,-4.79166705,51.45833745
0.0,-96.87500775,29.37500235
0.0,81.87500655,72.70833915
22.0,-76.04167275,55.20833775
46.0,127.29167685,53.12500425
39.0,141.87501135,39.79166985
0.0,114.37500915,-7.70833395
68.0,137.29167765,45.62500365
0.0,-108.54167535,65.62500525
8.0,-97.70834115,50.20833735
24.0,-112.70834235,35.20833615
0.0,27.29166885,-27.29166885
0.0,-133.95834405,61.04167155
0.0,7.70833395,56.04167115
0.0,93.95834085,67.70833875
0.0,116.87500935,30.20833575
0.0,131.04167715,54.79167105
0.0,-113.54167575,70.62500565
24.0,-143.12501145,63.54167175
0.0,88.12500705,51.04167075
16.0,128.95834365,56.04167115
34.0,-124.79167665,58.95833805
0.0,-146.04167835,70.20833895
13.0,-78.12500625,42.29167005
0.0,-143.12501145,70.20833895
19.0,-85.62500685,55.20833775
0.0,-119.79167625,54.79167105
0.0,117.70834275,-30.20833575
0.0,-80.20833975,59.79167145
16.0,-155.62501245,69.37500555
50.0,-88.95834045,45.62500365
0.0,106.04167515,10.20833415
0.0,129.79167705,54.79167105
6.0,109.37500875,36.04166955
24.0,37.70833635,40.20833655
64.0,-121.04167635,60.62500485
0.0,58.12500465,69.37500555
12.0,-68.95833885,44.37500355
0.0,-42.70833675,63.12500505
0.0,138.12501105,58.54167135
0.0,-57.29167125,52.70833755
0.0,-134.37501075,58.95833805
0.0,172.29168045,63.54167175
0.0,93.95834085,26.45833545
0.0,121.87500975,40.20833655
34.0,98.95834125,26.04166875
0.0,118.95834285,5.20833374999999
0.0,73.54167255,62.29167165
0.0,-145.62501165,70.20833895
30.0,104.37500835,50.62500405
59.0,29.37500235,36.45833625
15.0,-101.04167475,34.79166945
27.0,1.87500014999998,46.04167035
13.0,-67.70833875,52.29167085
5.0,171.04168035,66.04167195
70.0,55.20833775,60.62500485
46.0,-57.70833795,48.95833725
36.0,-130.20834375,68.12500545
80.0,89.79167385,52.29167085
25.0,56.87500455,56.04167115
0.0,-67.29167205,68.54167215
46.0,-74.79167265,43.54167015
0.0,-108.12500865,56.04167115
0.0,25.20833535,40.20833655
68.0,81.45833985,62.70833835
33.0,-86.87500695,33.54166935
51.0,-54.79167105,48.12500385
10.0,130.20834375,33.54166935
10.0,28.54166895,40.20833655
21.0,28.54166895,-30.20833575
0.0,96.87500775,23.95833525
0.0,-66.04167195,-53.95833765
13.0,134.37501075,55.62500445
22.0,-123.12500985,53.12500425
30.0,110.62500885,28.95833565
5.0,-81.45833985,51.45833745
0.0,117.70834275,-32.70833595
