"variable","percent.contribution","permutation.importance"
"bio12",45.3195,32.2553
"bio14",7.7008,27.7205
"bio15",0.4772,1.0417
"bio2",0,0
"bio4",15.6084,9.8686
"bio5",24.1799,17.7046
"ruggedness",4.3169,9.2863
"sand",1.263,0
"soc",1.1343,2.1229
