"variable","percent.contribution","permutation.importance"
"bio13",1.2032,1.7431
"bio15",38.7613,42.8788
"bio2",11.2187,0
"nitrogen",43.9646,55.378
"ruggedness",2.6418,0
"sand",2.2105,0
