"variable","percent.contribution","permutation.importance"
"bio13",0,0
"bio15",100,100
"bio2",0,0
"bio4",0,0
"bio8",0,0
"nitrogen",0,0
"ruggedness",0,0
"sand",0,0
"soc",0,0
