GTOPO30_ELEVATION,x,y
-9999.0,-13.12500105,81.04167315
-9999.0,19.37500155,81.04167315
-9999.0,-14.79166785,80.62500645
-9999.0,17.70833475,80.62500645
-9999.0,18.12500145,80.62500645
-9999.0,18.54166815,80.62500645
-9999.0,18.95833485,80.62500645
-9999.0,19.37500155,80.62500645
-9999.0,19.79166825,80.62500645
-9999.0,20.62500165,80.62500645
-9999.0,21.04166835,80.62500645
-9999.0,21.45833505,80.62500645
-9999.0,98.54167455,80.62500645
-9999.0,98.95834125,80.62500645
-9999.0,10.62500085,80.20833975
-9999.0,11.04166755,80.20833975
-9999.0,11.45833425,80.20833975
-9999.0,11.87500095,80.20833975
-9999.0,14.37500115,80.20833975
-9999.0,15.62500125,80.20833975
-9999.0,16.45833465,80.20833975
-9999.0,16.87500135,80.20833975
-9999.0,17.29166805,80.20833975
-9999.0,17.70833475,80.20833975
-9999.0,18.12500145,80.20833975
-9999.0,18.54166815,80.20833975
-9999.0,18.95833485,80.20833975
246.0,19.37500155,80.20833975
23.0,19.79166825,80.20833975
548.0,20.20833495,80.20833975
283.0,20.62500165,80.20833975
-9999.0,21.04166835,80.20833975
35.0,96.04167435,80.20833975
-9999.0,99.37500795,80.20833975
-9999.0,99.79167465,80.20833975
-9999.0,-17.29166805,79.79167305
-9999.0,10.20833415,79.79167305
-9999.0,10.62500085,79.79167305
-9999.0,11.04166755,79.79167305
450.0,12.29166765,79.79167305
-9999.0,13.95833445,79.79167305
-9999.0,14.37500115,79.79167305
-9999.0,14.79166785,79.79167305
-9999.0,15.20833455,79.79167305
16.0,15.62500125,79.79167305
275.0,16.04166795,79.79167305
478.0,16.45833465,79.79167305
300.0,16.87500135,79.79167305
457.0,17.29166805,79.79167305
185.0,17.70833475,79.79167305
-9999.0,18.12500145,79.79167305
-9999.0,18.54166815,79.79167305
200.0,18.95833485,79.79167305
225.0,19.37500155,79.79167305
264.0,19.79166825,79.79167305
49.0,20.62500165,79.79167305
-9999.0,21.04166835,79.79167305
62.0,96.45834105,79.79167305
99.0,96.87500775,79.79167305
613.0,99.37500795,79.79167305
70.0,99.79167465,79.79167305
-9999.0,101.45834145,79.79167305
-9999.0,10.20833415,79.37500635
-9999.0,10.62500085,79.37500635
268.0,11.04166755,79.37500635
700.0,12.29166765,79.37500635
447.0,12.70833435,79.37500635
815.0,13.12500105,79.37500635
629.0,13.54166775,79.37500635
-9999.0,13.95833445,79.37500635
757.0,14.37500115,79.37500635
1000.0,14.79166785,79.37500635
800.0,15.20833455,79.37500635
-9999.0,15.62500125,79.37500635
465.0,16.04166795,79.37500635
976.0,16.45833465,79.37500635
618.0,17.29166805,79.37500635
-9999.0,9.79166744999998,78.95833965
-9999.0,10.62500085,78.95833965
-9999.0,11.04166755,78.95833965
30.0,11.45833425,78.95833965
-9999.0,11.87500095,78.95833965
190.0,12.70833435,78.95833965
631.0,13.12500105,78.95833965
678.0,13.54166775,78.95833965
600.0,14.37500115,78.95833965
438.0,14.79166785,78.95833965
746.0,15.20833455,78.95833965
925.0,15.62500125,78.95833965
103.0,16.45833465,78.95833965
1397.0,16.87500135,78.95833965
394.0,18.95833485,78.95833965
450.0,19.37500155,78.95833965
342.0,19.79166825,78.95833965
320.0,20.20833495,78.95833965
-9999.0,20.62500165,78.95833965
-9999.0,21.04166835,78.95833965
-9999.0,21.45833505,78.95833965
-9999.0,96.04167435,78.95833965
-9999.0,104.79167505,78.95833965
-9999.0,10.20833415,78.54167295
-9999.0,10.62500085,78.54167295
300.0,11.04166755,78.54167295
-9999.0,11.45833425,78.54167295
-9999.0,11.87500095,78.54167295
-9999.0,12.29166765,78.54167295
300.0,12.70833435,78.54167295
-9999.0,13.12500105,78.54167295
596.0,13.54166775,78.54167295
350.0,13.95833445,78.54167295
18.0,14.37500115,78.54167295
-9999.0,14.79166785,78.54167295
-9999.0,15.20833455,78.54167295
578.0,15.62500125,78.54167295
300.0,16.04166795,78.54167295
-9999.0,16.45833465,78.54167295
625.0,16.87500135,78.54167295
1040.0,17.29166805,78.54167295
663.0,17.70833475,78.54167295
900.0,18.12500145,78.54167295
395.0,18.54166815,78.54167295
195.0,18.95833485,78.54167295
114.0,19.37500155,78.54167295
-9999.0,19.79166825,78.54167295
-9999.0,20.62500165,78.54167295
208.0,21.04166835,78.54167295
107.0,21.45833505,78.54167295
103.0,21.87500175,78.54167295
-9999.0,22.29166845,78.54167295
-9999.0,22.70833515,78.54167295
-9999.0,26.87500215,78.54167295
205.0,104.79167505,78.54167295
297.0,105.20834175,78.54167295
-9999.0,11.45833425,78.12500625
-9999.0,11.87500095,78.12500625
-9999.0,12.70833435,78.12500625
-9999.0,13.12500105,78.12500625
-9999.0,13.54166775,78.12500625
-9999.0,13.95833445,78.12500625
-9999.0,14.37500115,78.12500625
-9999.0,14.79166785,78.12500625
433.0,15.20833455,78.12500625
650.0,15.62500125,78.12500625
500.0,16.04166795,78.12500625
575.0,16.45833465,78.12500625
650.0,16.87500135,78.12500625
600.0,17.29166805,78.12500625
379.0,17.70833475,78.12500625
59.0,18.12500145,78.12500625
250.0,18.54166815,78.12500625
150.0,18.95833485,78.12500625
