ISRICSOILGRIDS_new_average_siltpercent_reduced,x,y
35.0,41.87500335,52.70833755
44.0,86.04167355,52.70833755
-9999.0,-131.87501055,52.29167085
17.0,12.70833435,52.29167085
21.0,21.45833505,52.29167085
28.0,23.12500185,52.29167085
37.0,30.62500245,52.29167085
52.0,37.70833635,52.29167085
43.0,40.20833655,52.29167085
45.0,41.45833665,52.29167085
50.0,43.95833685,52.29167085
48.0,-1.87500015000001,51.87500415
28.0,8.54166734999998,51.87500415
52.0,8.95833404999999,51.87500415
49.0,9.37500075,51.87500415
57.0,9.79166744999998,51.87500415
24.0,18.95833485,51.87500415
21.0,20.62500165,51.87500415
17.0,21.45833505,51.87500415
28.0,21.87500175,51.87500415
21.0,23.12500185,51.87500415
18.0,23.54166855,51.87500415
24.0,29.37500235,51.87500415
37.0,30.62500245,51.87500415
40.0,33.95833605,51.87500415
52.0,36.45833625,51.87500415
47.0,36.87500295,51.87500415
49.0,37.70833635,51.87500415
50.0,38.54166975,51.87500415
-9999.0,143.54167815,51.87500415
40.0,-3.12500025,51.45833745
49.0,-2.29166685000001,51.45833745
50.0,-1.45833345,51.45833745
46.0,8.12500064999998,51.45833745
56.0,9.37500075,51.45833745
59.0,10.62500085,51.45833745
20.0,18.95833485,51.45833745
23.0,21.45833505,51.45833745
21.0,23.95833525,51.45833745
23.0,26.87500215,51.45833745
29.0,29.37500235,51.45833745
31.0,30.62500245,51.45833745
30.0,33.12500265,51.45833745
25.0,-96.04167435,51.04167075
29.0,-85.20834015,51.04167075
32.0,-83.12500665,51.04167075
45.0,-0.208333350000004,51.04167075
51.0,0.208333349999975,51.04167075
24.0,2.29166684999998,51.04167075
30.0,4.37500034999999,51.04167075
19.0,4.79166705,51.04167075
15.0,5.20833374999998,51.04167075
17.0,5.62500044999999,51.04167075
53.0,6.04166714999999,51.04167075
47.0,6.45833385,51.04167075
28.0,6.87500054999998,51.04167075
52.0,7.29166724999999,51.04167075
43.0,8.12500064999998,51.04167075
46.0,8.54166734999998,51.04167075
47.0,8.95833404999999,51.04167075
40.0,11.04166755,51.04167075
59.0,11.45833425,51.04167075
44.0,22.70833515,51.04167075
34.0,27.70833555,51.04167075
33.0,28.95833565,51.04167075
46.0,33.95833605,51.04167075
48.0,36.04166955,51.04167075
39.0,-108.12500865,50.62500405
32.0,-85.62500685,50.62500405
29.0,-83.12500665,50.62500405
-9999.0,-1.45833345,50.62500405
-9999.0,-1.04166675000002,50.62500405
61.0,1.87500014999998,50.62500405
33.0,2.70833354999999,50.62500405
70.0,4.79166705,50.62500405
63.0,5.20833374999998,50.62500405
48.0,6.04166714999999,50.62500405
47.0,8.54166734999998,50.62500405
49.0,8.95833404999999,50.62500405
42.0,9.79166744999998,50.62500405
44.0,10.20833415,50.62500405
41.0,11.04166755,50.62500405
44.0,12.29166765,50.62500405
19.0,21.87500175,50.62500405
45.0,27.70833555,50.62500405
37.0,28.54166895,50.62500405
39.0,55.20833775,50.62500405
27.0,-95.20834095,50.20833735
25.0,-93.54167415,50.20833735
30.0,-83.12500665,50.20833735
46.0,-5.20833375000001,50.20833735
-9999.0,-2.29166685000001,50.20833735
-9999.0,-1.45833345,50.20833735
-9999.0,-1.04166675000002,50.20833735
-9999.0,1.04166674999999,50.20833735
-9999.0,1.45833345,50.20833735
27.0,1.87500014999998,50.20833735
58.0,2.29166684999998,50.20833735
64.0,2.70833354999999,50.20833735
60.0,3.12500025,50.20833735
71.0,3.54166694999998,50.20833735
61.0,3.95833364999999,50.20833735
51.0,4.37500034999999,50.20833735
52.0,4.79166705,50.20833735
46.0,5.62500044999999,50.20833735
48.0,6.04166714999999,50.20833735
48.0,8.12500064999998,50.20833735
41.0,9.37500075,50.20833735
46.0,9.79166744999998,50.20833735
41.0,12.70833435,50.20833735
45.0,33.54166935,50.20833735
-9999.0,-4.79166705,49.79167065
-9999.0,-2.70833355000002,49.79167065
66.0,1.87500014999998,49.79167065
65.0,2.29166684999998,49.79167065
62.0,3.95833364999999,49.79167065
51.0,4.37500034999999,49.79167065
47.0,4.79166705,49.79167065
46.0,5.20833374999998,49.79167065
45.0,6.04166714999999,49.79167065
46.0,6.87500054999998,49.79167065
44.0,8.95833404999999,49.79167065
45.0,11.04166755,49.79167065
43.0,11.45833425,49.79167065
50.0,21.45833505,49.79167065
52.0,21.87500175,49.79167065
52.0,25.20833535,49.79167065
-9999.0,-2.70833355000002,49.37500395
