"variable","percent.contribution","permutation.importance"
"bio12",26.5379,31.9898
"bio15",7.733,11.3821
"bio2",5.2319,0
"bio4",33.7644,21.7571
"nitrogen",0.298,0
"ruggedness",14.6805,6.9282
"sand",6.1047,15.6046
"soc",5.6496,12.3383
