"variable","percent.contribution","permutation.importance"
"bio15",0.1794,3.7757
"bio17",31.0352,4.6726
"bio2",0,0
"bio4",1.1705,3.3766
"bio8",53.051,51.8317
"nitrogen",0,0
"ruggedness",2.6531,1.0814
"sand",1.0082,0
"soc",10.9025,35.262
