"variable","percent.contribution","permutation.importance"
"bio13",6.3942,12.0696
"bio17",46.5849,26.9081
"bio2",1.984,13.1081
"bio4",4.7081,18.0699
"nitrogen",11.3715,6.533
"ruggedness",26.7417,23.3113
"sand",2.2157,0
