"variable","percent.contribution","permutation.importance"
"bio12",0.4529,0
"bio15",20.0511,14.1081
"bio2",52.2316,83.4048
"bio4",27.1845,1.5009
"ruggedness",0,0
"sand",0.08,0.9863
