"variable","percent.contribution","permutation.importance"
"bio13",11.1226,9.3645
"bio14",22.7491,15.7572
"bio2",14.2641,16.9794
"bio4",16.4768,11.7116
"nitrogen",10.7074,15.5352
"ruggedness",11.4922,11.8166
"sand",6.6285,7.0766
"soc",6.5594,11.7588
