"variable","percent.contribution","permutation.importance"
"bio13",0,0
"bio2",0,0
"bio4",0,0
"bio8",0,0
"bio9",66.6107,40.6032
"elevation",13.0839,0
"nitrogen",0,0
"ruggedness",20.3053,59.3968
"sand",0,0
"soc",0,0
