"variable","percent.contribution","permutation.importance"
"bio12",0,0
"bio15",3.4587,2.9073
"bio17",48.7878,61.0524
"bio2",0,0
"bio6",30.2276,34.9769
"nitrogen",0,0
"ruggedness",17.5258,1.0635
"sand",0,0
